n,config,threads,time
100000,serial,1,0.010273
100000,pthread,2,0.002961
100000,omp_static,2,0.005064
100000,omp_dynamic,2,0.002960
100000,pthread,4,0.001304
100000,omp_static,4,0.001491
100000,omp_dynamic,4,0.002469
100000,pthread,8,0.000808
100000,omp_static,8,0.001433
100000,omp_dynamic,8,0.006145
150000,serial,1,0.005482
150000,pthread,2,0.005216
150000,omp_static,2,0.005776
150000,omp_dynamic,2,0.004412
150000,pthread,4,0.002582
150000,omp_static,4,0.002802
150000,omp_dynamic,4,0.003970
150000,pthread,8,0.004007
150000,omp_static,8,0.001567
150000,omp_dynamic,8,0.008418
200000,serial,1,0.006246
200000,pthread,2,0.006081
200000,omp_static,2,0.006583
200000,omp_dynamic,2,0.004768
200000,pthread,4,0.002942
200000,omp_static,4,0.003239
200000,omp_dynamic,4,0.004700
200000,pthread,8,0.001748
200000,omp_static,8,0.001984
200000,omp_dynamic,8,0.010402
250000,serial,1,0.007518
250000,pthread,2,0.007481
250000,omp_static,2,0.008225
250000,omp_dynamic,2,0.005989
250000,pthread,4,0.003953
250000,omp_static,4,0.004341
250000,omp_dynamic,4,0.005930
250000,pthread,8,0.002318
250000,omp_static,8,0.002637
250000,omp_dynamic,8,0.013110
300000,serial,1,0.009427
300000,pthread,2,0.009932
300000,omp_static,2,0.011261
300000,omp_dynamic,2,0.007497
300000,pthread,4,0.005046
300000,omp_static,4,0.005549
300000,omp_dynamic,4,0.007002
300000,pthread,8,0.003009
300000,omp_static,8,0.003303
300000,omp_dynamic,8,0.015555
350000,serial,1,0.011706
350000,pthread,2,0.012397
350000,omp_static,2,0.013134
350000,omp_dynamic,2,0.009361
350000,pthread,4,0.006286
350000,omp_static,4,0.006912
350000,omp_dynamic,4,0.008253
350000,pthread,8,0.003603
350000,omp_static,8,0.004017
350000,omp_dynamic,8,0.018140
400000,serial,1,0.014143
400000,pthread,2,0.014096
400000,omp_static,2,0.015364
400000,omp_dynamic,2,0.010670
400000,pthread,4,0.007401
400000,omp_static,4,0.008087
400000,omp_dynamic,4,0.009469
400000,pthread,8,0.004286
400000,omp_static,8,0.004755
400000,omp_dynamic,8,0.020378
450000,serial,1,0.016523
450000,pthread,2,0.016573
450000,omp_static,2,0.018026
450000,omp_dynamic,2,0.012096
450000,pthread,4,0.008676
450000,omp_static,4,0.009396
450000,omp_dynamic,4,0.010593
450000,pthread,8,0.005028
450000,omp_static,8,0.005556
450000,omp_dynamic,8,0.022893
500000,serial,1,0.019069
500000,pthread,2,0.019120
500000,omp_static,2,0.020908
500000,omp_dynamic,2,0.013652
500000,pthread,4,0.009999
500000,omp_static,4,0.010850
500000,omp_dynamic,4,0.011810
500000,pthread,8,0.005717
500000,omp_static,8,0.006319
500000,omp_dynamic,8,0.024933
550000,serial,1,0.021669
550000,pthread,2,0.021880
550000,omp_static,2,0.023639
550000,omp_dynamic,2,0.015657
550000,pthread,4,0.011409
550000,omp_static,4,0.012311
550000,omp_dynamic,4,0.013144
