timestamp,jobid,n,processes,threads,distribution,schedule,computation_time,total_time,primes_found
2026-09-17T14:24:44Z,140406,100000000,2,8,weighted,static,3.514098,4.136086,5761455
2026-09-17T14:24:45Z,140405,100000000,2,8,cyclic,static,3.383077,4.408822,5761455
2026-09-17T14:24:45Z,140404,100000000,2,8,block,static,4.278617,4.956511,5761455
2026-09-17T14:24:48Z,140403,100000000,2,4,weighted,static,6.937233,7.519855,5761455
2026-09-17T14:24:48Z,140402,100000000,2,4,cyclic,static,6.713057,7.604370,5761455
2026-09-17T14:24:49Z,140406,100000000,2,8,weighted,static,3.512723,4.107087,5761455
2026-09-17T14:24:49Z,140405,100000000,2,8,cyclic,static,3.384759,4.294151,5761455
2026-09-17T14:24:50Z,140401,100000000,2,4,block,static,8.796807,9.563842,5761455
2026-09-17T14:24:51Z,140404,100000000,2,8,block,static,4.244473,4.879629,5761455
2026-09-17T14:24:51Z,140407,100000000,4,2,block,static,9.395064,10.244054,5761455
2026-09-17T14:24:52Z,140408,100000000,4,2,cyclic,static,11.048787,11.856128,5761455
2026-09-17T14:24:53Z,140406,100000000,2,8,weighted,static,3.508466,4.076563,5761455
2026-09-17T14:24:54Z,140405,100000000,2,8,cyclic,static,3.381689,4.215197,5761455
2026-09-17T14:24:54Z,140399,100000000,2,2,cyclic,static,13.350798,14.196780,5761455
2026-09-17T14:24:55Z,140400,100000000,2,2,weighted,static,13.886007,14.540604,5761455
2026-09-17T14:24:56Z,140404,100000000,2,8,block,static,4.236353,4.834038,5761455
2026-09-17T14:24:56Z,140402,100000000,2,4,cyclic,static,6.716682,7.670143,5761455
2026-09-17T14:24:57Z,140403,100000000,2,4,weighted,static,8.484358,9.088102,5761455
2026-09-17T14:24:58Z,140406,100000000,2,8,weighted,static,3.506540,4.040284,5761455
2026-09-17T14:24:59Z,140405,100000000,2,8,cyclic,static,3.380138,4.196421,5761455
2026-09-17T14:25:00Z,140401,100000000,2,4,block,static,8.943285,9.641493,5761455
2026-09-17T14:25:01Z,140408,100000000,4,2,cyclic,static,6.949497,7.775817,5761455
2026-09-17T14:25:01Z,140407,100000000,4,2,block,static,9.022692,9.768563,5761455
2026-09-17T14:25:01Z,140404,100000000,2,8,block,static,4.276325,4.951563,5761455
2026-09-17T14:25:02Z,140398,100000000,2,2,block,static,21.403357,21.916893,5761455
2026-09-17T14:25:02Z,140406,100000000,2,8,weighted,static,3.503176,4.038584,5761455
