timestamp,jobid,n,processes,threads,distribution,schedule,computation_time,total_time,primes_found
2026-09-17T06:14:29Z,136373,100000000,2,2,block,static,33.708458,34.283388,5761455
2026-09-17T06:14:34Z,136374,100000000,2,2,block,static,34.241681,34.841241,5761455
2026-09-17T06:14:36Z,136375,100000000,2,2,block,static,33.668459,34.179982,5761455
2026-09-17T06:15:04Z,136373,100000000,2,2,block,dynamic,33.692675,34.275188,5761455
2026-09-17T06:15:09Z,136374,100000000,2,2,block,dynamic,33.654342,34.268248,5761455
2026-09-17T06:15:11Z,136375,100000000,2,2,block,dynamic,33.681397,34.199520,5761455
2026-09-17T06:15:39Z,136373,100000000,2,2,block,guided,33.733648,34.307792,5761455
2026-09-17T06:15:44Z,136374,100000000,2,2,block,guided,33.668011,34.281220,5761455
2026-09-17T06:15:46Z,136375,100000000,2,2,block,guided,34.034403,34.539929,5761455
2026-09-17T06:16:08Z,136373,100000000,2,2,cyclic,static,27.833354,28.736031,5761455
2026-09-17T06:16:12Z,136374,100000000,2,2,cyclic,static,26.831458,27.756994,5761455
2026-09-17T06:16:15Z,136375,100000000,2,2,cyclic,static,28.058749,28.907319,5761455
2026-09-17T06:16:16Z,136376,100000000,2,2,block,static,33.711446,34.335488,5761455
2026-09-17T06:16:31Z,136378,100000000,4,2,block,static,18.064063,18.714626,5761455
2026-09-17T06:16:31Z,136380,100000000,4,2,block,static,18.128004,18.743139,5761455
2026-09-17T06:16:31Z,136379,100000000,4,2,block,static,18.168863,18.856172,5761455
2026-09-17T06:16:36Z,136373,100000000,2,2,cyclic,dynamic,26.915536,27.807333,5761455
2026-09-17T06:16:40Z,136374,100000000,2,2,cyclic,dynamic,26.830639,27.721223,5761455
2026-09-17T06:16:44Z,136375,100000000,2,2,cyclic,dynamic,26.922402,27.739523,5761455
2026-09-17T06:16:47Z,136377,100000000,2,2,block,static,33.735278,34.409926,5761455
2026-09-17T06:16:50Z,136380,100000000,4,2,block,dynamic,18.076650,18.728212,5761455
2026-09-17T06:16:50Z,136378,100000000,4,2,block,dynamic,18.047964,18.780388,5761455
2026-09-17T06:16:50Z,136376,100000000,2,2,block,dynamic,33.723957,34.334728,5761455
2026-09-17T06:16:51Z,136379,100000000,4,2,block,dynamic,18.073667,18.887010,5761455
2026-09-17T06:17:04Z,136373,100000000,2,2,cyclic,guided,26.869282,27.868816,5761455
2026-09-17T06:17:08Z,136374,100000000,2,2,cyclic,guided,26.811764,27.687491,5761455
2026-09-17T06:17:09Z,136380,100000000,4,2,block,guided,18.029917,18.671798,5761455
2026-09-17T06:17:09Z,136378,100000000,4,2,block,guided,18.035439,18.709766,5761455
2026-09-17T06:17:10Z,136379,100000000,4,2,block,guided,18.038333,18.729489,5761455
2026-09-17T06:17:12Z,136375,100000000,2,2,cyclic,guided,26.803147,27.624401,5761455
2026-09-17T06:17:22Z,136377,100000000,2,2,block,dynamic,33.723834,34.344369,5761455
2026-09-17T06:17:24Z,136380,100000000,4,2,cyclic,static,13.461540,14.459019,5761455
2026-09-17T06:17:24Z,136378,100000000,4,2,cyclic,static,13.531538,14.556377,5761455
2026-09-17T06:17:25Z,136379,100000000,4,2,cyclic,static,13.502430,14.482780,5761455
2026-09-17T06:17:25Z,136376,100000000,2,2,block,guided,33.635110,34.209349,5761455
2026-09-17T06:17:33Z,136373,100000000,2,2,weighted,static,27.843487,28.432013,5761455
2026-09-17T06:17:37Z,136374,100000000,2,2,weighted,static,27.773170,28.375184,5761455
2026-09-17T06:17:39Z,136380,100000000,4,2,cyclic,dynamic,13.435820,14.396635,5761455
2026-09-17T06:17:39Z,136378,100000000,4,2,cyclic,dynamic,13.433598,14.502245,5761455
2026-09-17T06:17:40Z,136379,100000000,4,2,cyclic,dynamic,13.470486,14.451843,5761455
2026-09-17T06:17:40Z,136375,100000000,2,2,weighted,static,27.799595,28.301421,5761455
2026-09-17T06:17:53Z,136376,100000000,2,2,cyclic,static,26.854135,27.711027,5761455
2026-09-17T06:17:54Z,136380,100000000,4,2,cyclic,guided,13.408802,14.409883,5761455
2026-09-17T06:17:54Z,136378,100000000,4,2,cyclic,guided,13.407446,14.454214,5761455
2026-09-17T06:17:55Z,136379,100000000,4,2,cyclic,guided,13.464408,14.505242,5761455
2026-09-17T06:17:56Z,136377,100000000,2,2,block,guided,33.672085,34.271310,5761455
2026-09-17T06:18:02Z,136373,100000000,2,2,weighted,dynamic,27.833810,28.431062,5761455
2026-09-17T06:18:06Z,136374,100000000,2,2,weighted,dynamic,27.756317,28.344818,5761455
2026-09-17T06:18:09Z,136375,100000000,2,2,weighted,dynamic,27.865067,28.362793,5761455
2026-09-17T06:18:10Z,136380,100000000,4,2,weighted,static,14.765421,15.387468,5761455
2026-09-17T06:18:10Z,136378,100000000,4,2,weighted,static,14.552749,15.152708,5761455
2026-09-17T06:18:11Z,136379,100000000,4,2,weighted,static,14.744303,15.385992,5761455
2026-09-17T06:18:21Z,136376,100000000,2,2,cyclic,dynamic,26.851083,27.710619,5761455
